ID,Related_protein,Related_protein_id,GeneName_Standarized,Related_protein_gene_name,UniprotAC,MIC_id,SpeciesName,Strain,StrainID,Drugid,Drug_Name,Type,Type_2,Microbiota_Site,Metabolites,Metabolites_CID,Metabolites_ID,KM,KM_combination,Metabolism_Type,Metabolism_Effect_on_Drug,Microbiota_Influence,Experiment_Materials,Experiment_Model_Species,Model_Condition_Disease,Experiment_Methods,Metabolism_Mechanism,Notes
MD06647,.,.,.,.,.,MC00275,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens MT4s-5,.,DR0847,(-)-Catechin,Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,Metabolic modification of (-)-Catechin,.,Human,Healthy,LC/MS Analysis,"The Adlercreutzia equolifaciens MT4s-5 has been reported to metabolic modification of (-)-Catechin, thereby affecting drug activity.","Strain MT4s-5 readily converted EC and C into (2S)-1-(3,4-dihydroxyphenyl)-3-(2,4,6- trihydroxyphenyl) propan-2-ol (1S) and +C into (2R)-1-(3,4- dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol (1R)."
MD06218,.,.,.,.,.,MC00005,Lactiplantibacillus plantarum,Lactobacillus plantarum IFPL935,.,DR0846,(-)-Epigallocatechin gallate,Microbiome Metabolic Modification Drug,Directly,.,"4-hydroxy-(3',4'-dihydroxyphenyl)-valeric acid; 5-(3,4-dihydroxyphenyl)-valerolactone",52920332; 45093073,MET0263; MET0261,.,.,.,involved in drug metabolism,Metabolic modification of (-)-Epigallocatechin gallate,.,Human,Healthy,.,"The Lactobacillus plantarum IFPL935 has been reported to metabolic modification of (-)-Epigallocatechin gallate, converting it to 4-hydroxy-(3',4'-dihydroxyphenyl)-valeric acid, 5-(3,4-dihydroxyphenyl)-valerolactone.","The results showed that L. plantarum IFPL935 exhibited higher resistance to nongalloylated monomeric flavan-3-ols, A-type dimeric procyanidins, and cranberry extract than to ()-epicatechin-3-O-gallate and B-type dimeric procyanidins. Despite these findings,the strain was capable of rapidly degrading ()-epicatechin-3-O-gallate, but not A- or B-type dimeric procyanidins. However, it was able to produce large changes in the phenolic profile of the cranberry extract mainly due to the catabolism of hydroxycinnamic and hydroxybenzoic acids. Of most relevance was the fact that L. plantarum IFPL935 cleaved the heterocyclic ring of monomeric flavan-3-ols, giving rise to 1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)propan-2-ol, activity exhibited by only a few human intestinal bacteria."
MD06247,.,.,.,.,.,MC00026,Flavonifractor plautii,Flavonifractor plautii ATCC 29863,411475,DR0885,"(2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,"Metabolic modification of (2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",.,Human,Healthy,LC/MS Analysis,"The Flavonifractor plautii ATCC 29863 has been reported to metabolic modification of (2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol, thereby affecting drug activity.","F. plautii ATCC 29863 was found to produce (4R)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3R) and (4R)-5-(3,4-dihydroxyphenyl)--valerolactone (4R) from 1S and (4S)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3S) and (4S)-5-(3,4-dihydroxyphenyl)--valerolactone (4S) from 1R."
MD06248,.,.,.,.,.,MC00026,Flavonifractor plautii,Flavonifractor plautii ATCC 49531,.,DR0885,"(2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,"Metabolic modification of (2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",.,Human,Healthy,LC/MS Analysis,"The Flavonifractor plautii ATCC 49531 has been reported to metabolic modification of (2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol, thereby affecting drug activity.","F. plautii ATCC 49531  was found to produce (4R)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3R) and (4R)-5-(3,4-dihydroxyphenyl)--valerolactone (4R) from 1S and (4S)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3S) and (4S)-5-(3,4-dihydroxyphenyl)--valerolactone (4S) from 1R."
MD06249,.,.,.,.,.,MC00026,Flavonifractor plautii,Flavonifractor plautii MT42,.,DR0885,"(2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,"Metabolic modification of (2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",.,Human,Healthy,LC/MS Analysis,"The Flavonifractor plautii MT42 has been reported to metabolic modification of (2R)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol, thereby affecting drug activity.","F. plautii MT42 was found to produce (4R)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3R) and (4R)-5-(3,4-dihydroxyphenyl)--valerolactone (4R) from 1S and (4S)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3S) and (4S)-5-(3,4-dihydroxyphenyl)--valerolactone (4S) from 1R."
MD06250,.,.,.,.,.,MC00026,Flavonifractor plautii,Flavonifractor plautii ATCC 29863,411475,DR0886,"(2R)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,"Metabolic modification of (2R)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",.,Human,Healthy,LC/MS Analysis,"The Flavonifractor plautii ATCC 29863 has been reported to metabolic modification of (2R)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol, thereby affecting drug activity.","F. plautii ATCC 29863 was found to produce (4R)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3R) and (4R)-5-(3,4-dihydroxyphenyl)--valerolactone (4R) from 1S and (4S)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3S) and (4S)-5-(3,4-dihydroxyphenyl)--valerolactone (4S) from 1R."
MD06251,.,.,.,.,.,MC00026,Flavonifractor plautii,Flavonifractor plautii ATCC 49531,.,DR0886,"(2R)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,"Metabolic modification of (2R)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",.,Human,Healthy,LC/MS Analysis,"The Flavonifractor plautii ATCC 49531 has been reported to metabolic modification of (2R)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol, thereby affecting drug activity.","F. plautii ATCC 49531  was found to produce (4R)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3R) and (4R)-5-(3,4-dihydroxyphenyl)--valerolactone (4R) from 1S and (4S)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3S) and (4S)-5-(3,4-dihydroxyphenyl)--valerolactone (4S) from 1R."
MD06252,.,.,.,.,.,MC00026,Flavonifractor plautii,Flavonifractor plautii MT42,.,DR0886,"(2R)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,"Metabolic modification of (2R)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",.,Human,Healthy,LC/MS Analysis,"The Flavonifractor plautii MT42 has been reported to metabolic modification of (2R)-1-(3-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol, thereby affecting drug activity.","Similarly, strain MT42 could convert 2S and 2R to their corresponding 4-hydroxy-5-(3-hydroxyphenyl) valeric acids (5R from 2S, 5S from 2R) and 5-(3-hydroxyphenyl)--valerolactones (6R from 2S, 6S from 2R)."
MD06253,.,.,.,.,.,MC00026,Flavonifractor plautii,Flavonifractor plautii ATCC 29863,411475,DR0887,"(2S)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,"Metabolic modification of (2S)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",.,Human,Healthy,LC/MS Analysis,"The Flavonifractor plautii ATCC 29863 has been reported to metabolic modification of (2S)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol, thereby affecting drug activity.","F. plautii ATCC 29863 was found to produce (4R)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3R) and (4R)-5-(3,4-dihydroxyphenyl)--valerolactone (4R) from 1S and (4S)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3S) and (4S)-5-(3,4-dihydroxyphenyl)--valerolactone (4S) from 1R."
MD06254,.,.,.,.,.,MC00026,Flavonifractor plautii,Flavonifractor plautii ATCC 49531,.,DR0887,"(2S)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",Microbiome Metabolic Modification Drug,Directly,.,.,.,.,.,.,.,involved in drug metabolism,"Metabolic modification of (2S)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol",.,Human,Healthy,LC/MS Analysis,"The Flavonifractor plautii ATCC 49531 has been reported to metabolic modification of (2S)-1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl) propan-2-ol, thereby affecting drug activity.","F. plautii ATCC 49531  was found to produce (4R)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3R) and (4R)-5-(3,4-dihydroxyphenyl)--valerolactone (4R) from 1S and (4S)-4-hydroxy-5-(3,4-dihydroxyphenyl) valeric acid (3S) and (4S)-5-(3,4-dihydroxyphenyl)--valerolactone (4S) from 1R."
