MIC_id,SpeciesName,SpeciesID,phylum_name_Type,genus,genus_name,family,family_name,order,order_name,class,class_name,phylum,phylum_name,kingdom,kingdom_name
MC02027,Abiotrophia defectiva,46125,Bacillota,46123,Abiotrophia,186827,Aerococcaceae,186826,Lactobacillales,91061,Bacilli,1239,Bacillota,2,Bacteria
MC02980,Abiotrophia sp.,76631,Bacillota,46123,Abiotrophia,186827,Aerococcaceae,186826,Lactobacillales,91061,Bacilli,1239,Bacillota,2,Bacteria
MC03418,Absidia sp.,1982014,Mucoromycota,4828,Absidia,4851,Cunninghamellaceae,4827,Mucorales,2212703,Mucoromycetes,1913637,Mucoromycota,4751,Fungi
MC02717,Absiella innocuum,2057237,Bacillota,2749267,Amedibacterium,128827,Erysipelotrichaceae,526525,Erysipelotrichales,526524,Erysipelotrichia,1239,Bacillota,2,Bacteria
MC02028,Absiella tortuosum,39494,Bacillota,2749267,Amedibacterium,128827,Erysipelotrichaceae,526525,Erysipelotrichales,526524,Erysipelotrichia,1239,Bacillota,2,Bacteria
MC02029,Abyssicoccus albus,1817405,Bacillota,1955413,Abyssicoccus,3076164,Abyssicoccaceae,1385,Bacillales,91061,Bacilli,1239,Bacillota,2,Bacteria
MC02030,Acetanaerobacterium elongatum,258515,Bacillota,258514,Acetanaerobacterium,216572,Oscillospiraceae,186802,Eubacteriales,186801,Clostridia,1239,Bacillota,2,Bacteria
MC03306,Acetanaerobacterium sp.,1872089,Bacillota,258514,Acetanaerobacterium,216572,Oscillospiraceae,186802,Eubacteriales,186801,Clostridia,1239,Bacillota,2,Bacteria
MC01591,Acetatifactor sp.,1872090,Bacillota,1427378,Acetatifactor,186803,Lachnospiraceae,3085636,Lachnospirales,186801,Clostridia,1239,Bacillota,2,Bacteria
MC01321,Acetivibrio clariflavus,288965,Bacillota,35829,Acetivibrio,216572,Oscillospiraceae,186802,Eubacteriales,186801,Clostridia,1239,Bacillota,2,Bacteria
MC02031,Acetivibrio ethanolgignens,290052,Bacillota,35829,Acetivibrio,216572,Oscillospiraceae,186802,Eubacteriales,186801,Clostridia,1239,Bacillota,2,Bacteria
MC01626,Acetivibrio sp.,1872092,Bacillota,35829,Acetivibrio,216572,Oscillospiraceae,186802,Eubacteriales,186801,Clostridia,1239,Bacillota,2,Bacteria
MC01151,Acetobacter sp.,440,Pseudomonadota,434,Acetobacter,433,Acetobacteraceae,204441,Rhodospirillales,28211,Alphaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC03302,Acetonema sp.,1871329,Bacillota,2373,Acetonema,1843490,Sporomusaceae,909929,Selenomonadales,909932,Negativicutes,1239,Bacillota,2,Bacteria
MC03295,Acholeplasma sp.,33015,Mycoplasmatota,2147,Acholeplasma,2146,Acholeplasmataceae,186329,Acholeplasmatales,31969,Mollicutes,544448,Mycoplasmatota,2,Bacteria
MC01359,Achromobacter aegrifaciens,1287736,Pseudomonadota,222,Achromobacter,506,Alcaligenaceae,80840,Burkholderiales,28216,Betaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC00514,Achromobacter denitrificans,32002,Pseudomonadota,222,Achromobacter,506,Alcaligenaceae,80840,Burkholderiales,28216,Betaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC01557,Achromobacter sp.,134375,Pseudomonadota,222,Achromobacter,506,Alcaligenaceae,80840,Burkholderiales,28216,Betaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC00075,Achromobacter xylosoxidans,85698,Pseudomonadota,222,Achromobacter,506,Alcaligenaceae,80840,Burkholderiales,28216,Betaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC03370,Acidaminobacter sp.,1872102,Bacillota,65402,Acidaminobacter,3118653,Acidaminobacteraceae,3082720,Peptostreptococcales,186801,Clostridia,1239,Bacillota,2,Bacteria
MC00076,Acidaminococcus fermentans,905,Bacillota,904,Acidaminococcus,909930,Acidaminococcaceae,1843488,Acidaminococcales,909932,Negativicutes,1239,Bacillota,2,Bacteria
MC00077,Acidaminococcus intestini,187327,Bacillota,904,Acidaminococcus,909930,Acidaminococcaceae,1843488,Acidaminococcales,909932,Negativicutes,1239,Bacillota,2,Bacteria
MC01599,Acidaminococcus sp.,1872103,Bacillota,904,Acidaminococcus,909930,Acidaminococcaceae,1843488,Acidaminococcales,909932,Negativicutes,1239,Bacillota,2,Bacteria
MC03199,Acidibacter sp.,1978469,Pseudomonadota,1549619,Acidibacter,.,.,.,.,1236,Gammaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC03012,Acidiphilium sp.,527,Pseudomonadota,522,Acidiphilium,433,Acetobacteraceae,204441,Rhodospirillales,28211,Alphaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC00637,Acidipropionibacterium acidipropionici,1748,Actinomycetota,1912215,Acidipropionibacterium,31957,Propionibacteriaceae,85009,Propionibacteriales,1760,Actinomycetes,201174,Actinomycetota,2,Bacteria
MC03307,Aciditerrimonas sp.,1872117,Actinomycetota,1042325,Aciditerrimonas,84994,Acidimicrobiaceae,84993,Acidimicrobiales,84992,Acidimicrobiia,201174,Actinomycetota,2,Bacteria
MC00457,Acidithiobacillus ferrooxidans,920,Pseudomonadota,119977,Acidithiobacillus,225058,Acidithiobacillaceae,225057,Acidithiobacillales,1807140,Acidithiobacillia,1224,Pseudomonadota,2,Bacteria
MC01752,Acidobacteria bacterium SCN 69-37,1660160,Acidobacteriota,.,.,.,.,.,.,.,.,57723,Acidobacteriota,2,Bacteria
MC01751,Acidobacteria bacterium WWH111,1387462,Acidobacteriota,.,.,.,.,.,.,.,.,57723,Acidobacteriota,2,Bacteria
MC00500,Acidobacterium capsulatum,33075,Acidobacteriota,33973,Acidobacterium,204434,Acidobacteriaceae,204433,Terriglobales,204432,Terriglobia,57723,Acidobacteriota,2,Bacteria
MC03094,Acidobacterium sp.,1872119,Acidobacteriota,33973,Acidobacterium,204434,Acidobacteriaceae,204433,Terriglobales,204432,Terriglobia,57723,Acidobacteriota,2,Bacteria
MC03336,Acidocella sp.,50710,Pseudomonadota,50709,Acidocella,433,Acetobacteraceae,204441,Rhodospirillales,28211,Alphaproteobacteria,1224,Pseudomonadota,2,Bacteria
MC03111,Acidothermus sp.,1872121,Actinomycetota,28048,Acidothermus,85032,Acidothermaceae,1643683,Acidothermales,1760,Actinomycetes,201174,Actinomycetota,2,Bacteria
MC00078,Acidovorax ebreus,721785,Pseudomonadota,238749,Diaphorobacter,80864,Comamonadaceae,80840,Burkholderiales,28216,Betaproteobacteria,1224,Pseudomonadota,2,Bacteria
